name,longitude,latitude
Tijuca,-43.215648212109308,-22.912632981885615
Tijuca,-43.215618707199532,-22.91280919507804
Tijuca,-43.215634414850278,-22.912994315009932
Tijuca,-43.215686051581613,-22.913205033703829
Tijuca,-43.215738556596868,-22.913356973243566
Tijuca,-43.215764978429227,-22.913416057840561
Tijuca,-43.21578156705521,-22.913534000017254,
Tijuca,-43.215526242685854,-22.913632002816399,
Tijuca,-43.215426104800471,-22.91365607262906,
Tijuca,-43.215339611889462,-22.913680295719153,
Tijuca,-43.215084190937482,-22.91377829437705,
Tijuca,-43.214783115496246,-22.9139009756035,
Tijuca,-43.214363218563882,-22.914089686976336,
Tijuca,-43.214189915734849,-22.914154923497602,
Tijuca,-43.213333176545589,-22.91375020639332,
Tijuca,-43.213026450511805,-22.913612292244974,
Tijuca,-43.212611405467086,-22.913431075756506,
Tijuca,-43.212354560511088,-22.914336014225047,
Tijuca,-43.213500780308152,-22.914811271274257,
Tijuca,-43.213445082548326,-22.914903116288585
Tijuca,-43.212334887039219,-22.914453549548458
Tijuca,-43.212210455675027,-22.914939701697676
Tijuca,-43.212019582040313,-22.915660438779717
Tijuca,-43.211946727678423,-22.915885829316512
Tijuca,-43.211871475212718,-22.916093404737552
Tijuca,-43.211717875382398,-22.916736898696357
Tijuca,-43.21152819054808,-22.917366531340264
Tijuca,-43.211495977740732,-22.917614866060273
Tijuca,-43.211415741758927,-22.919301025307735
Tijuca,-43.211414065664329,-22.919428696859946
Tijuca,-43.212557240634411,-22.920228029394107
Tijuca,-43.213852527559688,-22.921055887046215
Tijuca,-43.214317065407045,-22.921323175815182
Tijuca,-43.214439754773267,-22.921371604085198
Tijuca,-43.214385974157004,-22.921599558939011
Tijuca,-43.214509366683394,-22.921594264458751
Tijuca,-43.214841976127758,-22.921685329111423
Tijuca,-43.215217703831975,-22.921803878377645
Tijuca,-43.215571432663225,-22.921942227375869
Tijuca,-43.215787598780558,-22.922058891692334
Tijuca,-43.215563779855017,-22.921975735145796
Tijuca,-43.215267431560179,-22.921885079584285
Tijuca,-43.215014038517644,-22.921841864682627
Tijuca,-43.214897417229416,-22.921880919616669
Tijuca,-43.214845133799798,-22.921994568840557
Tijuca,-43.214835722720878,-22.922162518588298
Tijuca,-43.214921797876492,-22.922237353895838
Tijuca,-43.214993966612752,-22.922265075726852
Tijuca,-43.215117194495853,-22.922279916956658
Tijuca,-43.215290755615626,-22.922322234318926
Tijuca,-43.215420403855454,-22.922397560353879
Tijuca,-43.215499267950385,-22.922472405627669
Tijuca,-43.215462293014994,-22.92251903841505
Tijuca,-43.215332038100634,-22.922497437373458
Tijuca,-43.215201860959816,-22.922462380170852
Tijuca,-43.215042286494402,-22.922453813735743
